date,epiweek,region,ili,wili,num_ili,num_patients,num_providers
2010-01-09,201001,nat,1.98283823623218,1.90711760430302,14299,721138,1996
2010-01-16,201002,nat,1.82748623353375,1.86737529968374,14088,770895,2016
2010-01-23,201003,nat,1.92605625070969,1.88072330631514,14757,766177,2053
2010-01-30,201004,nat,1.92494717278953,1.96908433236079,15122,785580,2026
2010-02-06,201005,nat,2.0887684250423,2.11386811062075,16037,767773,1996
2010-02-13,201006,nat,2.03434082648651,2.09694583121344,15381,756068,1977
2010-02-20,201007,nat,1.97649460514715,1.90294345645018,15065,762208,1954
2010-02-27,201008,nat,1.99361774638287,1.96951462278194,16087,806925,1990
2010-03-06,201009,nat,1.85382596354543,1.92331036712421,14486,781411,1953
2010-03-13,201010,nat,1.86730358448397,1.89658616483482,14354,768702,1946
2010-03-20,201011,nat,1.69986766366336,1.75180555050134,12601,741293,1933
2010-03-27,201012,nat,1.49740820329748,1.52631922263178,11191,747358,1917
2010-04-03,201013,nat,1.45111877208932,1.49571988362904,10359,713863,1875
2010-04-10,201014,nat,1.20714782732567,1.22313021684613,8813,730068,1850
2010-04-17,201015,nat,1.1741508052025,1.17754240902,8801,749563,1831
2010-04-24,201016,nat,1.16206676116624,1.09111851417293,8362,719580,1765
2010-05-01,201017,nat,1.17213431214881,1.11957937083649,8440,720054,1755
2010-05-08,201018,nat,1.12167653365951,1.08168511952067,7914,705551,1710
2010-05-15,201019,nat,1.14981162628807,1.12497482672273,7697,669414,1664
2010-05-22,201020,nat,1.13327579756352,1.0619697897527,7603,670887,1624
2010-05-29,201021,nat,1.08171331519166,1.08908766932167,6853,633532,1497
2010-06-05,201022,nat,1.19958601095361,1.17760142013009,6595,549773,1421
2010-06-12,201023,nat,0.95280825954795,0.974930395182935,5755,604004,1435
2010-06-19,201024,nat,0.916032112818763,0.987131780132296,5316,580329,1405
2010-06-26,201025,nat,0.926582172934212,0.99599053755025,5334,575664,1384
2010-07-03,201026,nat,0.869619711871655,0.904726272396402,4718,542536,1347
2010-07-10,201027,nat,0.903133146199371,0.941927007840111,4691,519414,1353
2010-07-17,201028,nat,0.773775692770479,0.880415229455867,4234,547187,1284
2010-07-24,201029,nat,0.742774403429925,0.842614661882896,3950,531790,1265
2010-07-31,201030,nat,0.730934475995922,0.858382365250436,3850,526723,1250
2010-08-07,201031,nat,0.786881828762007,0.833830394847588,4077,518121,1241
2010-08-14,201032,nat,0.763050679663405,0.847436542815637,4008,525260,1212
2010-08-21,201033,nat,0.841043206314339,0.888273269260976,4518,537190,1225
2010-08-28,201034,nat,0.791572794251964,0.76537228790335,4420,558382,1235
2010-09-04,201035,nat,0.912731760403811,0.91858044292525,5007,548573,1170
2010-09-11,201036,nat,1.03397647058824,1.01431787184839,5493,531250,1198
2010-09-18,201037,nat,0.934009119726069,1.01232561233888,5510,589930,1210
2010-09-25,201038,nat,1.08188875532238,1.11803281725652,6741,623077,1206
2010-10-02,201039,nat,1.06562601148547,1.11805942184768,6387,599366,1254
2010-10-09,201040,nat,1.13505,1.10939,8473,746485,1838
2010-10-16,201041,nat,1.25256,1.24341,9347,746230,1875
2010-10-23,201042,nat,1.2457,1.25726,9684,777397,1907
2010-10-30,201043,nat,1.26774,1.25734,9904,781234,1929
2010-11-06,201044,nat,1.43723,1.43414,11020,766753,1947
2010-11-13,201045,nat,1.53341,1.51838,11807,769982,1940
2010-11-20,201046,nat,1.69445,1.61617,13336,787038,1921
2010-11-27,201047,nat,1.9915,1.84378,12079,606527,1938
2010-12-04,201048,nat,1.81305,1.72535,13997,772016,1964
2010-12-11,201049,nat,2.01426,1.87923,14958,742606,1936
2010-12-18,201050,nat,2.55659,2.3371,18022,704923,1916
2010-12-25,201051,nat,3.38185,3.03533,19899,588406,1840
2011-01-01,201052,nat,3.43172,3.136,20346,592880,1887
2011-01-08,201101,nat,2.69151,2.53336,20026,744043,1923
2011-01-15,201102,nat,2.91063,2.91288,20721,711908,1921
2011-01-22,201103,nat,3.49232,3.44497,26257,751850,1964
2011-01-29,201104,nat,4.0037,4.16185,31975,798637,1947
2011-02-05,201105,nat,4.43534,4.55159,34284,772974,1970
2011-02-12,201106,nat,4.24215,4.46504,34456,812230,1961
2011-02-19,201107,nat,4.39719,4.55124,36567,831600,1910
2011-02-26,201108,nat,3.90256,4.0822,31277,801449,1908
2011-03-05,201109,nat,3.15073,3.38812,24627,781629,1860
2011-03-12,201110,nat,2.72422,2.99142,20377,747993,1829
2011-03-19,201111,nat,2.33336,2.61542,17309,741807,1823
2011-03-26,201112,nat,1.925,2.09065,14031,728883,1790
2011-04-02,201113,nat,1.75243,1.86146,12957,739375,1770
2011-04-09,201114,nat,1.57704,1.61377,11498,729089,1723
2011-04-16,201115,nat,1.35766,1.42199,9391,691707,1681
2011-04-23,201116,nat,1.31223,1.3382,8695,662612,1651
2011-04-30,201117,nat,1.14937,1.19995,7830,681240,1612
2011-05-07,201118,nat,1.11451,1.14889,7307,655627,1585
2011-05-14,201119,nat,1.10984,1.12194,7236,651983,1556
2011-05-21,201120,nat,1.0524,1.06712,6530,620485,1516
2011-05-28,201121,nat,1.03536,1.05058,6072,586460,1381
2011-06-04,201122,nat,1.11777,1.15203,5946,531954,1357
2011-06-11,201123,nat,0.982949,0.970975,5547,564322,1296
2011-06-18,201124,nat,0.925194,0.894683,4989,539238,1279
2011-06-25,201125,nat,0.835531,0.843568,4448,532356,1251
2011-07-02,201126,nat,0.832393,0.815409,4218,506732,1225
2011-07-09,201127,nat,0.855591,0.823052,4009,468565,1211
2011-07-16,201128,nat,0.706949,0.674635,3721,526346,1220
2011-07-23,201129,nat,0.694387,0.631883,3597,518011,1203
2011-07-30,201130,nat,0.687976,0.641513,3538,514262,1179
2011-08-06,201131,nat,0.644743,0.529813,3202,496632,1175
2011-08-13,201132,nat,0.67533,0.644089,3523,521671,1175
2011-08-20,201133,nat,0.72823,0.667718,3874,531975,1191
2011-08-27,201134,nat,0.806526,0.705668,4444,551005,1195
2011-09-03,201135,nat,0.860408,0.804155,4717,548228,1200
2011-09-10,201136,nat,0.936075,0.907804,4813,514168,1184
2011-09-17,201137,nat,0.966683,1.00555,5567,575887,1196
2011-09-24,201138,nat,0.996007,1.03601,5822,584534,1201
2011-10-01,201139,nat,1.10846,1.07583,6708,605162,1213
2011-10-08,201140,nat,1.20345,1.16092,9365,778182,1850
2011-10-15,201141,nat,1.23777,1.19785,9803,791987,1883
2011-10-22,201142,nat,1.25259,1.27926,9958,794995,1905
2011-10-29,201143,nat,1.30546,1.29194,10298,788840,1900
2011-11-05,201144,nat,1.45295,1.42824,11396,784334,1925
2011-11-12,201145,nat,1.44089,1.39803,11496,797839,1946
2011-11-19,201146,nat,1.46221,1.45831,11721,801594,1900
2011-11-26,201147,nat,1.65573,1.56548,10377,626731,1918
2011-12-03,201148,nat,1.46606,1.34313,11479,782984,1904
2011-12-10,201149,nat,1.51811,1.48139,11187,736905,1898
2011-12-17,201150,nat,1.66429,1.63398,12137,729258,1872
2011-12-24,201151,nat,1.85274,1.83126,11958,645424,1851
2011-12-31,201152,nat,2.12413,2.10451,12356,581697,1821
2012-01-07,201201,nat,1.76709,1.73625,11992,678631,1891
2012-01-14,201202,nat,1.5434,1.55066,11543,747894,1883
2012-01-21,201203,nat,1.64762,1.62891,11939,724623,1887
2012-01-28,201204,nat,1.6843,1.76038,13209,784244,1891
2012-02-04,201205,nat,1.86354,1.92728,14448,775298,1885
2012-02-11,201206,nat,1.86408,1.91994,14624,784516,1875
2012-02-18,201207,nat,2.01839,2.09951,15929,789193,1884
2012-02-25,201208,nat,2.10385,2.23973,16137,767022,1853
2012-03-03,201209,nat,2.09555,2.21921,16518,788242,1826
2012-03-10,201210,nat,2.10398,2.16693,15763,749198,1816
2012-03-17,201211,nat,2.2941,2.38913,17150,747570,1819
2012-03-24,201212,nat,1.92223,1.96466,14524,755579,1780
2012-03-31,201213,nat,1.74239,1.84229,13017,747079,1753
2012-04-07,201214,nat,1.67601,1.68674,11930,711808,1729
2012-04-14,201215,nat,1.49637,1.53136,10732,717202,1707
2012-04-21,201216,nat,1.38202,1.37912,10123,732480,1699
2012-04-28,201217,nat,1.28926,1.29515,9370,726772,1675
2012-05-05,201218,nat,1.35803,1.39521,8999,662649,1564
2012-05-12,201219,nat,1.30833,1.32522,8576,655492,1546
2012-05-19,201220,nat,1.26692,1.23059,8062,636347,1503
2012-05-26,201221,nat,1.27731,1.23028,7878,616765,1415
2012-06-02,201222,nat,1.2991,1.26877,7153,550614,1409
2012-06-09,201223,nat,1.16297,1.10782,6765,581700,1365
2012-06-16,201224,nat,1.08612,1.09559,6133,564670,1289
2012-06-23,201225,nat,1.0568,1.11031,6048,572296,1295
2012-06-30,201226,nat,1.07871,1.10616,5786,536380,1260
2012-07-07,201227,nat,1.04662,1.10816,5291,505533,1271
2012-07-14,201228,nat,0.928152,0.999444,5185,558637,1240
2012-07-21,201229,nat,0.901936,0.924199,4931,546713,1223
2012-07-28,201230,nat,0.915356,0.949257,5103,557488,1250
2012-08-04,201231,nat,0.952548,0.978903,5159,541600,1240
2012-08-11,201232,nat,0.916661,0.925024,5026,548294,1248
2012-08-18,201233,nat,0.901787,0.848456,5051,560110,1238
2012-08-25,201234,nat,1.03315,1.04451,6141,594395,1238
2012-09-01,201235,nat,1.05238,1.0986,6318,600354,1238
2012-09-08,201236,nat,1.12713,1.22071,6296,558585,1242
2012-09-15,201237,nat,1.1866,1.24976,7382,622114,1252
2012-09-22,201238,nat,1.21415,1.22892,7656,630563,1268
2012-09-29,201239,nat,1.25198,1.29393,7807,623572,1248
2012-10-06,201240,nat,1.20559,1.23034,9395,779285,1932
2012-10-13,201241,nat,1.31929,1.3278,10158,769959,1940
2012-10-20,201242,nat,1.32737,1.33995,10585,797444,1968
2012-10-27,201243,nat,1.36688,1.37842,10913,798388,1958
2012-11-03,201244,nat,1.50535,1.50085,11061,734781,1929
2012-11-10,201245,nat,1.61273,1.65163,12674,785871,1974
2012-11-17,201246,nat,1.75208,1.76746,13623,777534,1966
2012-11-24,201247,nat,2.33365,2.30609,14650,627772,1968
2012-12-01,201248,nat,2.2268,2.16324,18521,831730,2006
2012-12-08,201249,nat,2.97657,2.83038,24877,835762,2006
2012-12-15,201250,nat,3.62552,3.43761,29432,811800,1977
2012-12-22,201251,nat,4.5532,4.30554,34332,754019,1908
2012-12-29,201252,nat,6.02598,6.06082,36588,607171,1905
2013-01-05,201301,nat,4.96368,4.64931,34103,687051,1982
2013-01-12,201302,nat,4.69072,4.32584,39896,850531,1995
2013-01-19,201303,nat,4.70473,4.51113,39441,838326,2008
2013-01-26,201304,nat,4.1646,4.2171,32426,778610,1978
2013-02-02,201305,nat,3.69533,3.78956,29808,806640,1963
2013-02-09,201306,nat,3.2363,3.29206,24987,772086,1931
2013-02-16,201307,nat,2.89421,3.0197,22321,771229,1926
2013-02-23,201308,nat,2.71742,2.71499,20519,755092,1940
2013-03-02,201309,nat,2.52297,2.4845,19231,762238,1893
2013-03-09,201310,nat,2.55227,2.57808,18829,737736,1884
2013-03-16,201311,nat,2.43225,2.39237,17392,715059,1846
2013-03-23,201312,nat,2.10851,2.06778,15254,723449,1825
2013-03-30,201313,nat,1.94725,1.90281,13714,704276,1811
2013-04-06,201314,nat,1.74859,1.65902,12273,701881,1769
2013-04-13,201315,nat,1.49713,1.43006,10818,722583,1742
2013-04-20,201316,nat,1.32313,1.27757,9188,694415,1732
2013-04-27,201317,nat,1.22647,1.19009,8589,700300,1711
2013-05-04,201318,nat,1.19614,1.09556,7986,667648,1675
2013-05-11,201319,nat,1.19049,1.08589,7704,647130,1630
2013-05-18,201320,nat,1.17426,1.07343,7317,623114,1582
2013-05-25,201321,nat,1.13342,1.01677,6589,581338,1489
2013-06-01,201322,nat,1.14306,1.04847,6190,541528,1486
2013-06-08,201323,nat,1.00881,0.920349,5638,558875,1421
2013-06-15,201324,nat,1.02358,0.920779,5539,541138,1419
2013-06-22,201325,nat,1.00138,0.904333,5474,546643,1405
2013-06-29,201326,nat,0.909498,0.83057,4915,540408,1389
2013-07-06,201327,nat,0.950042,0.862837,4506,474295,1357
2013-07-13,201328,nat,0.829299,0.732182,4510,543833,1362
2013-07-20,201329,nat,0.802109,0.724558,4186,521874,1341
2013-07-27,201330,nat,0.806333,0.740848,4233,524969,1325
2013-08-03,201331,nat,0.796937,0.726037,3886,487617,1290
2013-08-10,201332,nat,0.779136,0.755639,4075,523015,1299
2013-08-17,201333,nat,0.797653,0.761847,4168,522533,1276
